step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
424,0.01334,1.0,,
425,0.01644,1.0,,
426,0.03094,0.98148,,
427,0.12092,0.94444,,
428,0.00274,1.0,,
429,0.00606,1.0,,
430,0.04438,0.98148,,
431,0.01378,1.0,,
432,0.18304,0.94444,,
433,0.06927,0.98148,,
434,0.02465,1.0,,
435,0.01123,1.0,,
436,0.08243,0.98148,,
437,0.20585,0.96296,,
438,0.00038,1.0,,
439,0.09103,0.98148,,
440,0.0351,0.98148,,
441,0.13573,0.94444,,
442,0.11318,0.98148,,
443,0.09553,0.96296,,
444,0.09028,0.96296,,
445,0.11393,0.98148,,
446,0.22379,0.96296,,
447,0.01737,1.0,,
448,0.02462,0.98148,,
449,0.00835,1.0,,
450,0.01639,1.0,,
451,0.03025,0.98148,,
452,0.00788,1.0,,
453,0.00045,1.0,,
454,0.02155,1.0,,
455,0.07199,0.98148,,
456,0.006,1.0,,
457,0.06711,0.98148,,
458,0.01181,1.0,,
459,0.02422,0.98148,,
460,0.01158,1.0,,
461,0.28134,0.94444,,
462,0.05454,0.96296,,
463,0.01496,0.98148,,
464,0.03532,0.98148,,
465,0.0009,1.0,,
466,0.01476,1.0,,
467,0.00843,1.0,,
468,0.14048,0.96296,,
469,0.04428,0.98148,,
470,0.00346,1.0,,
471,0.11973,0.98148,,
472,0.06092,0.96296,,
473,0.04204,0.98148,,
474,0.00409,1.0,,
475,0.08223,0.96296,,
476,0.00043,1.0,,
477,0.15661,0.96296,,
478,0.06368,0.98148,,
479,0.00342,1.0,,
480,0.05321,0.98148,,
481,0.00177,1.0,,
482,0.20238,0.96296,,
483,0.03715,0.98148,,
484,0.01967,0.98148,,
485,0.16574,0.94444,,
486,0.00037,1.0,,
487,0.03842,0.98148,,
488,0.08067,0.98148,,
489,0.07626,0.98148,,
490,0.18148,0.96296,,
491,0.07786,0.98148,,
492,0.12298,0.96296,,
493,0.11893,0.96296,,
494,0.00498,1.0,,
495,0.00011,1.0,,
496,0.00593,1.0,,
497,0.23388,0.96296,,
498,0.03546,0.98148,,
499,0.2994,0.94444,,
500,0.00473,1.0,,
501,0.03143,0.98148,3e-05,0.66667
502,0.09387,0.98148,,
503,0.00241,1.0,,
504,0.02949,0.98148,,
505,0.00151,1.0,,
506,0.0068,1.0,,
507,0.01806,0.98148,,
508,0.00016,1.0,,
509,0.02984,0.98148,,
510,0.00362,1.0,,
511,0.13924,0.96296,,
512,0.00162,1.0,,
513,0.20217,0.96296,,
514,0.00263,1.0,,
515,0.00104,1.0,,
516,0.00305,1.0,,
517,0.00508,1.0,,
518,0.10081,0.98148,,
519,0.09449,0.94444,,
520,0.0003,1.0,,
521,0.13501,0.96296,,
522,0.0848,0.96296,,
523,0.11492,0.98148,,
524,0.08247,0.96296,,
525,0.04416,0.98148,,
526,0.00829,1.0,,
527,0.10644,0.98148,,
528,0.0082,1.0,,
529,0.00497,1.0,,
530,0.04037,0.98148,,
531,0.08542,0.98148,,
532,0.09958,0.98148,,
533,0.01385,1.0,,
534,0.01834,1.0,,
535,0.05643,0.96296,,
536,0.00501,1.0,,
537,0.00216,1.0,,
538,0.05579,0.98148,,
539,0.0516,0.98148,,
540,0.07086,0.96296,,
541,0.14317,0.98148,,
542,0.1816,0.96296,,
543,0.00251,1.0,,
544,0.01342,1.0,,
545,0.00028,1.0,,
546,0.07193,0.96296,,
547,0.09208,0.98148,,
548,0.01192,1.0,,
549,0.03605,0.98148,,
550,0.00193,1.0,,
551,0.08421,0.96296,,
552,0.00665,1.0,,
553,0.04767,0.98148,,
554,0.0484,0.96296,,
555,0.05387,0.98148,,
556,0.07581,0.98148,,
557,0.01111,1.0,,
558,0.21333,0.96296,,
559,0.05223,0.98148,,
560,0.06295,0.96296,,
561,0.13686,0.96296,,
562,0.00461,1.0,,
563,0.01472,1.0,,
564,0.00425,1.0,,
565,0.03446,0.98148,,
566,0.00239,1.0,,
567,0.04323,0.96296,,
568,0.01917,1.0,,
569,0.01094,1.0,,
570,0.00061,1.0,,
571,0.0316,0.98148,,
572,0.02199,0.98148,,
573,0.11402,0.96296,,
574,0.00817,1.0,,
575,0.02654,0.98148,,
576,0.044,0.98148,,
577,0.0583,0.98148,,
578,0.00041,1.0,,
579,0.03477,0.98148,,
580,0.0083,1.0,,
581,0.01027,1.0,,
582,0.21504,0.96296,,
583,0.00174,1.0,,
584,0.02106,0.98148,,
585,0.00663,1.0,,
586,0.00116,1.0,,
587,0.09535,0.96296,,
588,0.09125,0.98148,,
589,0.0109,1.0,,
590,0.00483,1.0,,
591,0.09943,0.98148,,
592,0.107,0.96296,,
